求解函数 f(x1, x2) = 100(x2 - x1^2)^2 + (1 - x1)^2 的极小值
初始点: (0, 0)
收敛条件: 梯度范数 < 1.0E-4

最速下降法:
第210次迭代 f(x_i) = 0.090602478479220, x_1 = 0.699763415221256, x_2 = 0.487522976989328
第211次迭代 f(x_i) = 0.090142500756118, x_1 = 0.699762592877692, x_2 = 0.489666588247470
第212次迭代 f(x_i) = 0.089685834949100, x_1 = 0.701282612221684, x_2 = 0.489667144492000
第213次迭代 f(x_i) = 0.089232383047458, x_1 = 0.701282101327363, x_2 = 0.491795810647825
第214次迭代 f(x_i) = 0.088782198776709, x_1 = 0.702788051283078, x_2 = 0.491796201493995
第215次迭代 f(x_i) = 0.088335212231940, x_1 = 0.702787597509737, x_2 = 0.493909791534418
第216次迭代 f(x_i) = 0.087891409785836, x_1 = 0.704279620987789, x_2 = 0.493910100698907
第217次迭代 f(x_i) = 0.087450734888788, x_1 = 0.704279295836361, x_2 = 0.496008905241904
第218次迭代 f(x_i) = 0.087013176552848, x_1 = 0.705757626389252, x_2 = 0.496009115896216
第219次迭代 f(x_i) = 0.086578679204260, x_1 = 0.705757448356725, x_2 = 0.498093316785394
第220次迭代 f(x_i) = 0.086147245043985, x_1 = 0.707222314975489, x_2 = 0.498093445805358
第221次迭代 f(x_i) = 0.085718809563793, x_1 = 0.707222252280050, x_2 = 0.500163118506986
第222次迭代 f(x_i) = 0.085293396771916, x_1 = 0.708674028344352, x_2 = 0.500163215513412
第223次迭代 f(x_i) = 0.084871014059559, x_1 = 0.708673698331056, x_2 = 0.502218017587901
第224次迭代 f(x_i) = 0.084451555654282, x_1 = 0.710112205782657, x_2 = 0.502218211738515
第225次迭代 f(x_i) = 0.084034926894234, x_1 = 0.710112216721911, x_2 = 0.504259419493609
第226次迭代 f(x_i) = 0.083621172011162, x_1 = 0.711538032729444, x_2 = 0.504259390398562
第227次迭代 f(x_i) = 0.083210265804675, x_1 = 0.711538103381041, x_2 = 0.506286664091410
第228次迭代 f(x_i) = 0.082802167397129, x_1 = 0.712951242538093, x_2 = 0.506286570272919
第229次迭代 f(x_i) = 0.082396826751101, x_1 = 0.712951525469007, x_2 = 0.508300330778031
第230次迭代 f(x_i) = 0.081994248117908, x_1 = 0.714352385731046, x_2 = 0.508300109700325
第231次迭代 f(x_i) = 0.081594457180836, x_1 = 0.714352564901912, x_2 = 0.510299751893756
第232次迭代 f(x_i) = 0.081197403017635, x_1 = 0.715741068311150, x_2 = 0.510299671738395
第233次迭代 f(x_i) = 0.080803008859200, x_1 = 0.715741299429266, x_2 = 0.512285908343485
第234次迭代 f(x_i) = 0.080411287013561, x_1 = 0.717117969060634, x_2 = 0.512285762767594
第235次迭代 f(x_i) = 0.080022296374458, x_1 = 0.717117875480634, x_2 = 0.514257910653451
第236次迭代 f(x_i) = 0.079635920359253, x_1 = 0.718482611677661, x_2 = 0.514257976598100
第237次迭代 f(x_i) = 0.079252182306425, x_1 = 0.718482358837809, x_2 = 0.516216442781285
第238次迭代 f(x_i) = 0.078871027241202, x_1 = 0.719835465358304, x_2 = 0.516216662574772
第239次迭代 f(x_i) = 0.078492491244477, x_1 = 0.719834885881073, x_2 = 0.518161395721387
第240次迭代 f(x_i) = 0.078116476468646, x_1 = 0.721176290793394, x_2 = 0.518161811118722
第241次迭代 f(x_i) = 0.077742913030299, x_1 = 0.721175838598809, x_2 = 0.520093888595587
第242次迭代 f(x_i) = 0.077371827587391, x_1 = 0.722506041907954, x_2 = 0.520094223425608
第243次迭代 f(x_i) = 0.077003217205947, x_1 = 0.722505464676222, x_2 = 0.522013301573092
第244次迭代 f(x_i) = 0.076637030836079, x_1 = 0.723824354622935, x_2 = 0.522013703324775
第245次迭代 f(x_i) = 0.076273178788948, x_1 = 0.723824007625992, x_2 = 0.523920692218363
第246次迭代 f(x_i) = 0.075911704707467, x_1 = 0.725132130748116, x_2 = 0.523920929960052
第247次迭代 f(x_i) = 0.075552649925674, x_1 = 0.725131577199763, x_2 = 0.525814949946529
第248次迭代 f(x_i) = 0.075195939169240, x_1 = 0.726428623141505, x_2 = 0.525815353257103
第249次迭代 f(x_i) = 0.074841459207588, x_1 = 0.726428328961971, x_2 = 0.527697755884317
第250次迭代 f(x_i) = 0.074489258447950, x_1 = 0.727714902128394, x_2 = 0.527697925800799
第251次迭代 f(x_i) = 0.074139357041791, x_1 = 0.727714567012675, x_2 = 0.529567994093371
第252次迭代 f(x_i) = 0.073791708213915, x_1 = 0.728990511831144, x_2 = 0.529568227028371
第253次迭代 f(x_i) = 0.073446252875443, x_1 = 0.728990308535881, x_2 = 0.531426587693462
第254次迭代 f(x_i) = 0.073103005598137, x_1 = 0.730255844122946, x_2 = 0.531426719513958
第255次迭代 f(x_i) = 0.072761880429153, x_1 = 0.730255898249582, x_2 = 0.533273665459366
第256次迭代 f(x_i) = 0.072422945351475, x_1 = 0.731511263257463, x_2 = 0.533273670796940
第257次迭代 f(x_i) = 0.072086117467383, x_1 = 0.731511420233693, x_2 = 0.535109114605397
第258次迭代 f(x_i) = 0.071751438071701, x_1 = 0.732756921395815, x_2 = 0.535109041931972
第259次迭代 f(x_i) = 0.071418956008848, x_1 = 0.732756747514440, x_2 = 0.536932138187544
第260次迭代 f(x_i) = 0.071088580765274, x_1 = 0.733992215753473, x_2 = 0.536932282838789
第261次迭代 f(x_i) = 0.070760319744395, x_1 = 0.733991880343650, x_2 = 0.538743619025776
第262次迭代 f(x_i) = 0.070434111030816, x_1 = 0.735217617474029, x_2 = 0.538743831681054
第263次迭代 f(x_i) = 0.070110025870831, x_1 = 0.735217021333773, x_2 = 0.540543176993560
第264次迭代 f(x_i) = 0.069787965218580, x_1 = 0.736432919780172, x_2 = 0.540543586562261
第265次迭代 f(x_i) = 0.069467896052494, x_1 = 0.736432369218660, x_2 = 0.542331880739729
第266次迭代 f(x_i) = 0.069149802743701, x_1 = 0.737638718840650, x_2 = 0.542332225850661
第267次迭代 f(x_i) = 0.068833648929618, x_1 = 0.737638324281890, x_2 = 0.544109634102690
